iter	Passed	Remaining
403	9430	13912
404	9451	13884
405	9472	13858
406	9493	13832
407	9532	13831
408	9556	13809
409	9577	13782
410	9600	13758
411	9622	13733
412	9643	13706
413	9663	13678
414	9686	13654
415	9706	13627
416	9727	13599
417	9748	13573
418	9771	13549
419	9793	13523
420	9817	13502
421	9839	13476
422	9859	13449
423	9883	13426
424	9905	13402
425	9926	13375
426	9950	13352
427	9971	13326
428	9992	13300
429	10014	13275
430	10035	13249
431	10056	13222
432	10081	13200
433	10102	13175
434	10123	13148
435	10143	13121
436	10167	13098
437	10187	13071
438	10207	13043
439	10229	13019
440	10250	12993
441	10270	12966
442	10291	12940
443	10314	12915
444	10335	12890
445	10357	12865
446	10379	12841
447	10401	12816
448	10422	12790
449	10445	12766
450	10485	12764
451	10506	12738
452	10529	12714
453	10553	12692
454	10577	12669
455	10599	12644
456	10620	12619
457	10642	12594
458	10664	12569
459	10685	12544
460	10708	12520
461	10730	12495
462	10751	12469
463	10771	12443
464	10796	12421
465	10817	12395
466	10840	12372
467	10862	12347
468	10883	12322
469	10906	12298
470	10927	12273
471	10956	12256
472	10989	12243
473	11009	12217
474	11029	12190
475	11050	12165
476	11073	12141
477	11095	12116
478	11115	12089
479	11136	12064
480	11159	12041
481	11179	12014
482	11201	11989
483	11223	11966
484	11243	11939
485	11265	11914
486	11288	11890
487	11309	11866
488	11331	11840
489	11354	11817
490	11375	11792
491	11396	11767
492	11421	11745
493	11464	11742
494	11487	11719
495	11509	11694
496	11531	11670
497	11555	11647
498	11575	11621
499	11599	11599
500	11620	11574
501	11641	11548
502	11662	11523
503	11682	11497
504	11704	11472
505	11726	11447
506	11747	11423
507	11768	11398
508	11789	11372
509	11809	11346
510	11832	11322
511	11852	11297
512	11872	11271
513	11893	11245
514	11914	11220
515	11986	11243
516	12016	11226
517	12043	11206
518	12069	11185
519	12117	11185
520	12143	11164
521	12169	11143
522	12198	11125
523	12228	11108
524	12258	11090
525	12284	11070
526	12315	11053
527	12342	11033
528	12378	11021
529	12415	11009
530	12477	11020
531	12505	11001
532	12537	10985
533	12575	10973
534	12659	11003
535	12701	10994
536	12737	10982
537	12767	10964
538	12801	10948
539	12841	10938
540	12865	10915
541	12910	10909
542	12934	10885
543	12958	10862
544	12981	10837
545	13004	10813
546	13028	10789
547	13052	10765
548	13076	10741
549	13098	10717
550	13121	10692
551	13143	10667
